                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0364,                 1.7918,                 1.0307,                0.24079,                0.29657,                0.25984,                0.17519,                 1.2345,                 2.7325,                 1.1626,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.0453,                 1.7669,                 1.0291,                0.30433,                0.28186,                0.26334,                0.17607,                 1.2446,                 2.7246,                 1.1827,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.0434,                 1.7388,                 1.0039,                0.33443,                 0.2886,                0.25656,                0.17396,                  1.241,                 2.7234,                  1.182,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.0044,                 1.7999,                 1.0001,                0.30512,                0.23096,                0.24147,                0.15569,                 1.2167,                  2.752,                 1.1634,               0.000359,               0.000359,               0.000359
                     38,                 1.0269,                 1.7914,                 1.0181,                0.32348,                0.23995,                0.22905,                0.14854,                 1.1935,                 2.7866,                 1.1537,             0.00033425,             0.00033425,             0.00033425
                     39,                0.95825,                  1.643,                0.98377,                0.32547,                0.26434,                0.21844,                0.14332,                 1.2006,                 2.8213,                 1.1641,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.0048,                 1.6385,                0.99974,                0.26853,                0.30322,                0.22079,                0.14635,                 1.2263,                 2.8116,                 1.2024,             0.00028475,             0.00028475,             0.00028475
                     41,                0.93577,                 1.6931,                0.99181,                0.31973,                0.31793,                0.22525,                0.14868,                 1.2325,                  2.828,                 1.2057,                0.00026,                0.00026,                0.00026
                     42,                0.93857,                 1.7403,                 1.0006,                0.30951,                0.29966,                0.22834,                0.14997,                  1.211,                 2.8489,                 1.1901,             0.00023525,             0.00023525,             0.00023525
                     43,                0.93829,                 1.6492,                 1.0036,                0.36555,                0.28461,                0.22608,                0.15159,                 1.2315,                 2.8898,                  1.201,              0.0002105,              0.0002105,              0.0002105
                     44,                0.99609,                 1.7118,                0.98558,                0.36454,                0.27363,                0.22189,                0.15032,                 1.2181,                 2.9495,                 1.1963,             0.00018575,             0.00018575,             0.00018575
                     45,                0.90313,                   1.63,                0.97777,                0.37153,                0.28782,                0.23863,                0.15994,                 1.2046,                 2.9131,                 1.1962,               0.000161,               0.000161,               0.000161
                     46,                0.92421,                 1.6189,                 0.9606,                0.35992,                0.28564,                0.26171,                0.17403,                 1.1984,                 2.8717,                 1.2009,             0.00013625,             0.00013625,             0.00013625
                     47,                0.89291,                 1.5569,                  0.965,                0.33564,                0.27673,                0.27055,                0.17898,                 1.1797,                 2.8008,                 1.1937,              0.0001115,              0.0001115,              0.0001115
                     48,                0.93053,                 1.5593,                0.98148,                0.51028,                0.25891,                0.27548,                0.18834,                 1.1781,                 2.7083,                 1.1995,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.89402,                 1.4767,                0.96043,                0.35935,                0.30551,                 0.2686,                0.18573,                 1.1833,                 2.6824,                 1.2044,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                  0.864,                 1.5542,                0.95871,                0.34724,                0.32073,                0.26815,                0.18778,                 1.1796,                 2.6652,                 1.2009,              3.725e-05,              3.725e-05,              3.725e-05
